shared.name;FeatureID;row.ID;FTIC Pn_delicatissima;FMEAN Pn_delicatissima;FMEDIAN Pn_delicatissima;FTIC System_Blank;FMEAN System_Blank;FMEDIAN System_Blank;FTIC 100;FMEAN 100;FMEDIAN 100;FTIC filtered;FMEAN filtered;FMEDIAN filtered;FTIC Blank;FMEAN Blank;FMEDIAN Blank;FTIC unfiltered;FMEAN unfiltered;FMEDIAN unfiltered;FTIC 0;FMEAN 0;FMEDIAN 0;FTIC Sample;FMEAN Sample;FMEDIAN Sample;FTIC 50;FMEAN 50;FMEDIAN 50;FTIC Procedure_Blank;FMEAN Procedure_Blank;FMEDIAN Procedure_Blank;FTIC Pn_multiseries;FMEAN Pn_multiseries;FMEDIAN Pn_multiseries;FTIC Pn_Subpacifica;FMEAN Pn_Subpacifica;FMEDIAN Pn_Subpacifica;FTIC Media;FMEAN Media;FMEDIAN Media;Blank_1;Blank_3;Media_Blank;blank_out;Pn_chubby14_100ml;Pn_chubby14_50ml;Pn_chubby14_unfil;Pn_delicatessima6_100ml;Pn_delicatessima6_50ml;Pn_delicatessima6_unfil;Pn_multiseries_100ml;Pn_multiseries_50ml;Pn_multiseries_unfil;Pn_skinny13_100ml;Pn_skinny13_50ml;Pn_skinny13_unfil;Pn_subpacifica5_100ml;Pn_subpacifica5_50ml;Pn_subpacifica5_unfil
3343;8596;X667.370.534.1..ID..8596.;1766643.648;294440.6081;0;0;0;0;3924680.742;654113.457;0;5798411.789;579841.1789;0;0;0;0;1734105.25;289017.5417;0;0;0;0;7532517.039;502167.8026;0;3607836.297;360783.6297;0;0;0;0;4031768.141;1343922.714;1221551.063;1734105.25;289017.5417;0;0;0;0;0;0;0;0;0;0;200565.25;0;0;0;2810217.078;1221551.063;0;1114463.664;652179.9844;0;0;0;1533540
3344;725;X668.382.560.1..ID..725.;63658650;10609775;8061825;0;0;0;78098811.99;13016468.67;9677000.516;177146298.4;17714629.84;9765001.909;0;0;0;56275423.67;9379237.278;9284990;0;0;0;232769178.4;15517945.23;9971390;155322910.1;15532291.01;9284990;652543.668;652543.668;652543.668;108877434.3;36292478.1;42017500;60233094.09;10038849.02;10028045;652543.668;652543.668;652543.668;0;0;652543.668;0;11828941.03;6069772.982;9971390;1497540;3415260;20941300;42017500;60833034.3;6026900;7525060;21680900;8598590;14577227.29;7701062.786;10084700
3345;2011;X668.383.438.1..ID..2011.;326164072.6;54360678.76;28751132.24;0;0;0;240219787.4;40036631.23;8532585;396384626.8;39638462.68;8532585;0;0;0;104251285.3;17375214.21;19518180.12;0;0;0;499983368.4;33332224.56;18353610.76;260416124.7;26041612.47;19518180.12;652543.668;652543.668;652543.668;120162309.1;40054103.04;44063914.28;53656986.69;8942831.115;7571589.52;652543.668;652543.668;652543.668;0;0;652543.668;0;8114220;4149130;2441080;4784073.217;1534443.485;39148653.71;55415645.36;44063914.28;20682749.47;162302355.1;100040936.3;18353610.76;8950950;7028959.039;22972647.65
3346;2095;X668.383.567.1..ID..2095.;292160465.1;48693410.84;44120616.08;0;0;0;175348601.9;29224766.98;14263263.73;371525206.7;37152520.67;14263263.73;0;0;0;100039055.8;16673175.97;4218095;0;0;0;470911718.8;31394114.59;13405010.23;296215660.6;29621566.06;7299117.054;652543.668;652543.668;652543.668;127282826.9;42427608.98;61915442.53;51468426.82;8578071.137;7252854.681;652543.668;652543.668;652543.668;0;0;652543.668;0;13405010.23;6804646.576;5197090;5934932.311;6897171.321;51829497.12;62658294.42;61915442.53;2709090;77576304;113510825.3;36411735.04;15121517.23;7701062.786;3239100
3347;2901;X669.132.584.1..ID..2901.;4554942.918;759157.153;337773.5322;0;0;0;18892351.44;3148725.24;123120.7188;24322291.01;2432229.101;279223.2969;0;0;0;4210431.65;701738.6084;109369.8867;0;0;0;28532722.66;1902181.511;246241.4375;9640371.223;964037.1223;265472.4648;0;0;0;23759039.97;7919679.99;4706790;218739.7734;36456.62891;0;0;0;0;0;0;0;0;0;0;218739.7734;246241.4375;312205.1563;0;15423900;4706790;3628349.969;3222210;410944.416;363341.9082;0;0;0
3348;6481;X669.302.506.1..ID..6481.;10924055.45;1820675.909;683778.5615;0;0;0;8577995.805;1429665.967;218928.292;18942051.22;1894205.122;219145.4932;0;0;0;13202731.1;2200455.183;732021.2871;0;0;0;31824450.62;2121630.041;549380.5391;23566786.51;2356678.651;732021.2871;320331.7012;320331.7012;320331.7012;9292584.539;3097528.18;1933590;11607810.62;1934635.104;204430.2715;320331.7012;320331.7012;320331.7012;0;0;320331.7012;0;117524.8828;203757.9727;2460749.898;72377.44531;233188.416;914662.0352;1933590;6809614;549380.5391;6018208.313;3232724.156;452895.0879;115963.4629;205102.5703;8504711.836
3349;2295;X669.302.518.1..ID..2295.;10174907.61;1695817.934;670460.8721;0;0;0;14232767.49;2372127.915;218928.292;20755848.06;2075584.806;218473.1943;0;0;0;11642231.55;1940371.924;732021.2871;0;0;0;32077747.91;2138516.527;549380.5391;18165312.12;1816531.212;732021.2871;320331.7012;320331.7012;320331.7012;11969800.54;3989933.513;4013990;9933039.764;1655506.627;160641.4277;320331.7012;320331.7012;320331.7012;0;0;320331.7012;0;117524.8828;203757.9727;2012849.891;72377.44531;233188.416;914662.0352;7406430;4013990;549380.5391;6200140;2328280;426259.709;115963.4629;64195.88281;7418747.672
3350;3822;X669.312.505.1..ID..3822.;22059356.41;3676559.402;1772505.646;0;0;0;26869720.03;4478286.672;837690.4482;37253767.43;3725376.743;1131051.486;0;0;0;22009103.69;3668183.948;1889225.36;0;0;0;58074864.6;3871657.64;1866151.291;32393151.09;3239315.109;1889225.36;1188006.514;1188006.514;1188006.514;17913551.63;5971183.878;1912299.43;18101956.56;3016992.76;1252340.881;1188006.514;1188006.514;1188006.514;0;0;1188006.514;0;117524.8828;488232.9727;4283680.539;487374.3828;452407.1035;1678860;14227382.2;1773870;1912299.43;10733468.59;6841095.047;1866151.291;115963.4629;2016448.789;11080105.91
3351;4148;X669.383.559.1..ID..4148.;162144781.4;27024130.23;19698147.69;0;0;0;98065419.64;16344236.61;9355165.908;160935190;16093519;8719352.058;0;0;0;68899194.09;11483199.02;10684639.74;0;0;0;229067806.5;15271187.1;9318808.01;131768964.4;13176896.44;8810206.794;766577.5684;766577.5684;766577.5684;19187501.66;6395833.888;6450200;47735523.43;7955920.571;9227953.273;766577.5684;766577.5684;766577.5684;0;0;766577.5684;0;9573233.278;3604063.947;9318808.01;10585555.38;8301605.578;24083460.34;5370260;6450200;7367041.664;62632694.88;41228630.19;15312835.03;9137098.537;4051848.183;12050471.47
3352;3312;X669.384.438.1..ID..3312.;90176006.27;15029334.38;8053586.344;0;0;0;58766618.13;9794436.354;3298343.372;96926521.4;9692652.14;3701050.559;0;0;0;28199850.25;4699975.042;3651007.266;0;0;0;124379248.6;8291949.905;4316968.422;66359753.52;6635975.352;3673351.397;747123.0723;747123.0723;747123.0723;14880149.54;4960049.846;3029734.373;19323092.77;3220515.462;2437432.589;747123.0723;747123.0723;747123.0723;0;0;747123.0723;0;2224320;2650545.178;2985046.109;4372366.744;4698427.125;11408745.56;10570889.71;3029734.373;1279525.453;38962448.6;26417049.82;4316968.422;1889470;2111269.85;7462441.633
